bathroom,cancellation,distance,entertainment,kitchen,length,location,name,price_monthly,price_nightly,price_weekly,rv_details,sleeps,temperature_control,vehicle_type,year
"Shower,Toilet,Bathroom Sink",Standard,"20.8 miles from Los Angeles, CA","DVD Player,AM/FM Radio,CD Player,TV","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",28ft,"Los Angeles, CA",2010 Forest river Wildwood ce,"$2,550",$125,$630,"Year - 2010,Manufacturer - Forest river,Make - Wildwood ce,Class - Travel Trailer,Sleeps - 7,Fresh water tank - 50.0 gal,Length - 28.0 ft",7,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2010
"Shower,Toilet,Bathroom Sink",Standard,"54.7 miles from Los Angeles, CA","TV,DVD Player,AM/FM Radio,CD Player,iPod Docking Station","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",32.0ft,"Oxnard, CA",2018 Coachmen Leprechaun,"$5,500",$210,"$1,350","Year - 2018,Manufacturer - Coachmen RV,Make - Leprechaun,Model - 310BH Ford 450,Class - Class C Motor Home,Sleeps - 9,Total Number of Beds - 6,Number of Bunk Beds - 2,Slides - 2,Fresh water tank - 50.0 gal,Length - 32.0 ft,Height - 10.0 ft",9,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2018
"Shower,Bathroom Sink,Toilet",Standard,"22.7 miles from Los Angeles, CA","CD Player,TV,DVD Player,AM/FM Radio","Microwave,Range (Stove),Refrigerator,Kitchen Sink",22.0ft,"San Pedro, CA",Small Luxury RV,"$6,000",$250,"$1,500","Year - 2013,Manufacturer - Roadtrek,Make - Roadtrek,Model - RS-Adventurous,Class - Class B Camping Van,Sleeps - 4,Length - 22.0 ft,Height - 9.0 ft",4,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class B Camping Van,2013
"Shower,Toilet,Bathroom Sink",Flexible,"36.8 miles from Los Angeles, CA","CD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",12.0ft,"Rancho Cucamonga, CA",Room for the whole family!,"$2,800",$125,$750,"Year - 2013,Manufacturer - Cargo Mate,Make - Living Quarters,Model - 12 Foot,Class - Toy Hauler,Sleeps - 3,Length - 12.0 ft",3,"Roof Air Conditioning,Hot & Cold Water Supply",Toy Hauler,2013
"Shower,Toilet,Bathroom Sink",Strict,"23.4 miles from Los Angeles, CA","AM/FM Radio,TV,DVD Player,CD Player","Refrigerator,Kitchen Sink,Microwave,Slide Out,Range (Stove)",30ft,"Stanton, CA",2011 Thor Hurricane,"$7,920",$264,"$1,848","Year - 2011,Manufacturer - Thor,Make - Hurricane,Class - Class A Motor Home,Sleeps - 7,Fresh water tank - 56.0 gal,Length - 30.0 ft",7,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2011
"Toilet,Shower,Bathroom Sink",Strict,"23.4 miles from Los Angeles, CA","CD Player,TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",31ft,"Stanton, CA",31ft Tioga,"$6,870",$229,"$1,603","Year - 2011,Manufacturer - fleetwood,Make - Tioga,Class - Class C Motor Home,Sleeps - 7,Fresh water tank - 60.0 gal,Length - 31.0 ft",7,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2011
"Toilet,Shower,Bathroom Sink",Strict,"23.4 miles from Los Angeles, CA","CD Player,TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",31ft,"Stanton, CA",31ft MVP Tahoe,"$7,200",$240,"$1,680","Year - 2011,Manufacturer - Tahoe by MVP,Make - Tahoe,Class - Class C Motor Home,Sleeps - 8,Fresh water tank - 45.0 gal,Length - 31.0 ft",8,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2011
,Standard,"34.1 miles from Los Angeles, CA",,,28.0ft,"Ontario, CA",Travel Trailer - 3 Day Minimum,,$149,,"Year - 2007,Manufacturer - Forest River RV,Make - Surveyor,Model - (Unit 3184),Class - Travel Trailer,Sleeps - 7,Total Number of Beds - 6,Number of Bunk Beds - 3,Slides - 1,Fresh water tank - 36.0 gal,Length - 28.0 ft,Height - 12.5 ft",7,,Travel Trailer,2007
"Shower,Toilet,Bathroom Sink",Standard,"34.1 miles from Los Angeles, CA","CD Player,TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",40.0ft,"Ontario, CA",Class A Diesel Pusher – 3 Day Minimum,,$386,,"Year - 2007,Manufacturer - Tiffin Motorhomes,Make - Allegro Bus,Model - (unit 3025),Class - Class A Motor Home,Sleeps - 5,Length - 40.0 ft",5,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2007
"Shower,Bathroom Sink,Toilet",Standard,"33.9 miles from Los Angeles, CA","CD Player,TV,DVD Player,AM/FM Radio,iPod Docking Station","Microwave,Range (Stove),Slide Out,Refrigerator,Kitchen Sink",25.0ft,"Santa Ana, CA",Road Shark 5,"$8,160",$320,"$2,083","Year - 2019,Manufacturer - Winnebago,Make - View,Model - 24J,Class - Class C Motor Home,Sleeps - 6,Total Number of Beds - 3,Slides - 1,Fresh water tank - 38.0 gal,Length - 25.0 ft,Height - 11.0 ft",6,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2019
,Standard,"24.6 miles from Los Angeles, CA",,,31ft,"Calabasas, CA",31ft Fleetwood Jamboree,,"$1,000",,"Year - 2006,Class - Class C Motor Home,Sleeps - 6,Length - 31.0 ft",6,,Class C Motor Home,2006
